frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
61,6.0,[644.8782958984375 753.644287109375 737.3023071289062 798.1927490234375],[644.8782958984375 753.644287109375 737.3023071289062 798.1927490234375],0.6021856665611267,GX15OGJ,0.7082426945800566
63,6.0,[643.439697265625 760.919677734375 734.988525390625 801.4046630859375],[643.439697265625 760.919677734375 734.988525390625 801.4046630859375],0.5284006595611572,GX15OGJ,0.2709635406453888
71,5.0,[1265.33740234375 1032.994873046875 1371.4273681640625 1076.0159912109375],[1265.33740234375 1032.994873046875 1371.4273681640625 1076.0159912109375],0.6430659890174866,MT51NSV,0.05993247606361606
76,6.0,[640.34521484375 794.7350463867188 720.0034790039062 835.3507690429688],[640.34521484375 794.7350463867188 720.0034790039062 835.3507690429688],0.6705913543701172,GX15OGJ,0.7487283248476638
77,6.0,[637.0836181640625 795.3876342773438 719.4993896484375 842.2644653320312],[637.0836181640625 795.3876342773438 719.4993896484375 842.2644653320312],0.6103008389472961,GX15OGJ,0.2419680636183809
78,8.0,[679.6776733398438 595.5672607421875 745.265869140625 631.8282470703125],[679.6776733398438 595.5672607421875 745.265869140625 631.8282470703125],0.37535232305526733,KY10SZM,0.12058175034812725
80,1.0,[1103.5643310546875 641.2783203125 1175.15576171875 679.369140625],[1103.5643310546875 641.2783203125 1175.15576171875 679.369140625],0.40653732419013977,AP05JEC,0.055576471191954906
81,8.0,[680.7097778320312 597.9172973632812 745.5860595703125 632.9027099609375],[680.7097778320312 597.9172973632812 745.5860595703125 632.9027099609375],0.375735878944397,KH05ZIV,0.1261540336081381
82,6.0,[630.3270263671875 814.9786376953125 715.1590576171875 853.742431640625],[630.3270263671875 814.9786376953125 715.1590576171875 853.742431640625],0.6014270186424255,GX15OGJ,0.46537003624181295
85,6.0,[628.3009643554688 824.9254760742188 712.2174682617188 869.0158081054688],[628.3009643554688 824.9254760742188 712.2174682617188 869.0158081054688],0.657194972038269,GX15CGJ,0.2624920583754336
87,6.0,[624.049072265625 833.90380859375 713.3031005859375 875.6270751953125],[624.049072265625 833.90380859375 713.3031005859375 875.6270751953125],0.6315815448760986,GX15OGJ,0.8756326129866471
91,6.0,[619.48876953125 843.5460205078125 706.28955078125 887.933349609375],[619.48876953125 843.5460205078125 706.28955078125 887.933349609375],0.663368284702301,GX15OGJ,0.33661718495205006
92,6.0,[618.501220703125 847.0411376953125 714.1295166015625 891.2796020507812],[618.501220703125 847.0411376953125 714.1295166015625 891.2796020507812],0.6042748689651489,GX15OCJ,0.3587842657853825
93,6.0,[615.2598876953125 851.8588256835938 709.3975830078125 897.4520874023438],[615.2598876953125 851.8588256835938 709.3975830078125 897.4520874023438],0.5965280532836914,GX15OCJ,0.4102620264052355
94,6.0,[615.0362548828125 855.8303833007812 708.40283203125 897.3627319335938],[615.0362548828125 855.8303833007812 708.40283203125 897.3627319335938],0.5876374244689941,GX15OGJ,0.14593619088366958
95,6.0,[615.5897216796875 861.4312133789062 703.148193359375 901.3218383789062],[615.5897216796875 861.4312133789062 703.148193359375 901.3218383789062],0.6507846117019653,CX15OGJ,0.31260330876349907
95,8.0,[674.1209716796875 621.2537841796875 738.808837890625 657.588134765625],[674.1209716796875 621.2537841796875 738.808837890625 657.588134765625],0.4744716286659241,KK65LIX,0.13825907418584396
95,1.0,[1111.07177734375 679.1121826171875 1188.510986328125 710.03564453125],[1111.07177734375 679.1121826171875 1188.510986328125 710.03564453125],0.4614083170890808,AP05JEO,0.35997959134529045
96,6.0,[610.92822265625 862.3048095703125 703.2958374023438 903.3131103515625],[610.92822265625 862.3048095703125 703.2958374023438 903.3131103515625],0.6215552687644958,GX15OCJ,0.3832795603336653
97,6.0,[608.4471435546875 865.620849609375 706.133544921875 904.5069580078125],[608.4471435546875 865.620849609375 706.133544921875 904.5069580078125],0.6016210317611694,GX15OCJ,0.3726924549173955
98,6.0,[606.839111328125 866.6934814453125 703.6773681640625 915.3063354492188],[606.839111328125 866.6934814453125 703.6773681640625 915.3063354492188],0.6477842926979065,GX15OCJ,0.7136870147909133
99,1.0,[1115.541015625 681.3049926757812 1193.88525390625 719.0866088867188],[1115.541015625 681.3049926757812 1193.88525390625 719.0866088867188],0.5849809646606445,JF05JEO,0.6429181187767871
99,8.0,[660.871337890625 619.3709716796875 740.8973388671875 663.28271484375],[660.871337890625 619.3709716796875 740.8973388671875 663.28271484375],0.2526400089263916,IH05ZZX,0.1484360880759404
100,6.0,[605.4388427734375 876.0750732421875 700.8075561523438 920.9644775390625],[605.4388427734375 876.0750732421875 700.8075561523438 920.9644775390625],0.5921221971511841,GX15OGJ,0.3787985572257559
100,8.0,[663.3040771484375 626.232421875 736.1998291015625 661.26416015625],[663.3040771484375 626.232421875 736.1998291015625 661.26416015625],0.576043426990509,KH05ZIX,0.038434268292640066
101,6.0,[606.8540649414062 880.8486328125 695.1256103515625 924.1109619140625],[606.8540649414062 880.8486328125 695.1256103515625 924.1109619140625],0.6453030705451965,LI15OCJ,0.2054315969131163
101,1.0,[1113.576904296875 686.2052001953125 1193.274658203125 717.663330078125],[1113.576904296875 686.2052001953125 1193.274658203125 717.663330078125],0.42885157465934753,WP05JEO,0.08965243146497323
102,6.0,[605.6415405273438 886.369873046875 690.88427734375 924.923828125],[605.6415405273438 886.369873046875 690.88427734375 924.923828125],0.6170637011528015,GX15OCJ,0.4142760486097308
102,1.0,[1108.16357421875 685.866943359375 1196.65185546875 724.1098022460938],[1108.16357421875 685.866943359375 1196.65185546875 724.1098022460938],0.5755326747894287,AP05JEO,0.5293341499628957
103,6.0,[602.041259765625 889.17919921875 691.437744140625 926.9970703125],[602.041259765625 889.17919921875 691.437744140625 926.9970703125],0.6181938052177429,GX15OCJ,0.42785634484917906
103,1.0,[1108.91845703125 687.0650634765625 1193.2490234375 725.5795288085938],[1108.91845703125 687.0650634765625 1193.2490234375 725.5795288085938],0.4746741056442261,AP05JEO,0.3455073418982715
105,1.0,[1114.4644775390625 690.0760498046875 1214.629638671875 732.9183349609375],[1114.4644775390625 690.0760498046875 1214.629638671875 732.9183349609375],0.4854724705219269,JP05JED,0.15574202876564164
106,6.0,[599.4398193359375 896.999267578125 693.3968505859375 943.9544677734375],[599.4398193359375 896.999267578125 693.3968505859375 943.9544677734375],0.6264922022819519,GX15UGJ,0.1327633126471069
106,1.0,[1110.6875 693.30908203125 1193.7137451171875 732.166748046875],[1110.6875 693.30908203125 1193.7137451171875 732.166748046875],0.5174065828323364,AP05JED,0.2872686807259913
107,6.0,[601.4905395507812 903.06005859375 690.2260131835938 947.2369995117188],[601.4905395507812 903.06005859375 690.2260131835938 947.2369995117188],0.6506510972976685,GY15OGJ,0.26308973497362115
107,1.0,[1119.0146484375 703.3892822265625 1200.41796875 733.8711547851562],[1119.0146484375 703.3892822265625 1200.41796875 733.8711547851562],0.2522904872894287,AP05JED,0.512144072041053
108,6.0,[587.6378784179688 906.9629516601562 689.319091796875 949.7935180664062],[587.6378784179688 906.9629516601562 689.319091796875 949.7935180664062],0.6217934489250183,GY15OCJ,0.540244756529226
108,1.0,[1120.3330078125 703.0321044921875 1213.15576171875 737.2589111328125],[1120.3330078125 703.0321044921875 1213.15576171875 737.2589111328125],0.5044276714324951,AP05JED,0.13800340449851237
109,6.0,[590.0169677734375 909.624755859375 684.6847534179688 950.2613525390625],[590.0169677734375 909.624755859375 684.6847534179688 950.2613525390625],0.5900989174842834,GY15OGJ,0.3487824355056962
110,6.0,[596.6583251953125 915.4953002929688 689.8496704101562 961.2024536132812],[596.6583251953125 915.4953002929688 689.8496704101562 961.2024536132812],0.6559209227561951,GX15OCJ,0.4167322771676961
110,1.0,[1115.8399658203125 706.5125732421875 1206.3197021484375 746.0472412109375],[1115.8399658203125 706.5125732421875 1206.3197021484375 746.0472412109375],0.5413676500320435,AP05JEQ,0.1877138321657122
111,6.0,[596.1546020507812 922.682373046875 689.6453247070312 965.578125],[596.1546020507812 922.682373046875 689.6453247070312 965.578125],0.6106716394424438,GX15OGJ,0.14023659337906322
111,1.0,[1115.5927734375 705.822265625 1203.6295166015625 745.3660888671875],[1115.5927734375 705.822265625 1203.6295166015625 745.3660888671875],0.5374659299850464,AF05JEO,0.8040317300831638
112,6.0,[594.4615478515625 924.5438232421875 690.5245361328125 967.7113037109375],[594.4615478515625 924.5438232421875 690.5245361328125 967.7113037109375],0.5839321613311768,GX15OGJ,0.6995720986297335
113,6.0,[591.2169189453125 930.0009155273438 684.295654296875 970.3265991210938],[591.2169189453125 930.0009155273438 684.295654296875 970.3265991210938],0.6033676862716675,GX15OCJ,0.24988463183330697
113,1.0,[1119.6402587890625 708.9365844726562 1207.304931640625 744.97802734375],[1119.6402587890625 708.9365844726562 1207.304931640625 744.97802734375],0.45560142397880554,AF05JEO,0.4790583387574186
114,6.0,[588.0580444335938 933.82568359375 685.3320922851562 975.1544189453125],[588.0580444335938 933.82568359375 685.3320922851562 975.1544189453125],0.624435305595398,GX15OGJ,0.5930300263578162
115,1.0,[1114.040283203125 712.49072265625 1217.8524169921875 754.09814453125],[1114.040283203125 712.49072265625 1217.8524169921875 754.09814453125],0.545426607131958,AF05JEQ,0.2878351545069345
116,1.0,[1119.485595703125 717.814208984375 1211.2752685546875 754.8494873046875],[1119.485595703125 717.814208984375 1211.2752685546875 754.8494873046875],0.4289728105068207,XP05JEO,0.06288831281584288
117,1.0,[1114.8680419921875 717.1328125 1215.4852294921875 754.4998779296875],[1114.8680419921875 717.1328125 1215.4852294921875 754.4998779296875],0.4249216914176941,KP05JEC,0.09471446000387891
